[1203/121029.854:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1203/135655.415:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1203/170413.079:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1203/202337.461:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1208/195618.149:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[0318/104622.400:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[0323/161257.282:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir9572_27312\Crashpad: The system cannot find the file specified. (0x2)
[0323/161622.628:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir19236_23049\Crashpad: The system cannot find the file specified. (0x2)
[0323/162129.657:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir16812_3092\Crashpad: The system cannot find the file specified. (0x2)
[0323/162401.262:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir15008_20719\Crashpad: The system cannot find the file specified. (0x2)
[0323/162510.928:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir18672_13289\Crashpad: The system cannot find the file specified. (0x2)
[0323/162650.508:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir9740_5946\Crashpad: The system cannot find the file specified. (0x2)
[0323/162934.156:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir1712_4718\Crashpad: The system cannot find the file specified. (0x2)
[0323/163154.301:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir15104_13010\Crashpad: The system cannot find the file specified. (0x2)
[0323/164019.889:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir16124_20746\Crashpad: The system cannot find the file specified. (0x2)
[0323/164949.618:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir18016_20644\Crashpad: The system cannot find the file specified. (0x2)
[0323/165222.435:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir13388_32683\Crashpad: The system cannot find the file specified. (0x2)
[0323/165722.381:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir15820_29682\Crashpad: The system cannot find the file specified. (0x2)
[0323/170128.479:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir14076_21149\Crashpad: The system cannot find the file specified. (0x2)
[0323/170318.182:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir14048_2600\Crashpad: The system cannot find the file specified. (0x2)
[0323/170526.258:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir15728_23453\Crashpad: The system cannot find the file specified. (0x2)
